name,state,office,party,bio,website,faith_statement,positions,endorsements
Ricardo Lara,California,Insurance Commissioner,Democratic,Incumbent Insurance Commissioner. First openly LGBTQ+ statewide elected official in California. Focus on climate change and insurance reform.,https://ricardolara.com,Not publicly disclosed,climate:insurance-reform;lgbtq:advocate;consumer:protection,California Democratic Party
Vince Fong,California,Insurance Commissioner,Republican,U.S. Representative and former Kevin McCarthy staffer. Conservative Republican. Pro-business focus.,https://vincefong.com,Christian conservative values.,insurance:free-market;business:deregulation;fiscal:conservative;pro-life:support,California Republican Party
Mara Elliott,California,City Attorney (San Diego),Democratic,Incumbent San Diego City Attorney. Progressive prosecutor.,https://maraelliott.com,Not publicly disclosed,progressive:prosecution;environment:protection;consumer:rights,San Diego Democrats
Cory Briggs,California,City Attorney (San Diego),Independent,Attorney and government watchdog. Independent reformer.,Not available,Not publicly disclosed,government:accountability;transparency:advocate;reform:focus,Reform Groups
Dev Davis,California,City Council District 11 (Los Angeles),Republican,Los Angeles City Councilmember. Conservative voice on council.,https://devdavis.com,Christian conservative.,fiscal:conservative;public-safety:priority;homelessness:address,LAPD;Business Community
Eunisses Hernandez,California,City Council District 1 (Los Angeles),Democratic Socialist,Progressive councilmember. Democratic Socialist.,Not available,Not publicly disclosed,progressive:strong;police:reform;housing:social,Democratic Socialists
Hugo Soto-Martinez,California,City Council District 13 (Los Angeles),Democratic Socialist,Progressive councilmember. Labor organizer background.,Not available,Not publicly disclosed,labor:unions;progressive:strong;housing:social,Labor Unions
Tim McOsker,California,City Council District 15 (Los Angeles),Moderate Democrat,Moderate Democrat on LA City Council.,Not available,Not publicly disclosed,moderate:approach;public-safety:balance;business:support,Moderate Democrats
Marqueece Harris-Dawson,California,City Council District 9 (Los Angeles),Democrat,LA City Council President Pro Tem. Progressive leader.,Not available,Not publicly disclosed,progressive:leadership;equity:focus;housing:affordable,LA Democrats
Monica Rodriguez,California,City Council District 7 (Los Angeles),Democrat,LA City Councilmember. Focus on Valley issues.,Not available,Not publicly disclosed,valley:representation;public-safety:support;infrastructure:local,Valley Democrats
Omar Torres,California,City Council District 3 (San Jose),Democrat,San Jose City Councilmember. Progressive focus.,Not available,Not publicly disclosed,progressive:policies;housing:affordable;transit:expansion,San Jose Democrats
Domingo Candelas,California,City Council District 1 (San Jose),Democrat,San Jose City Councilmember. Community focus.,Not available,Not publicly disclosed,community:local;housing:affordable;public-safety:balance,San Jose Democrats
Pam Foley,California,City Council District 9 (San Jose),Republican,San Jose City Councilmember. Conservative voice.,Not available,Christian conservative values.,fiscal:conservative;public-safety:strong;business:support,San Jose Republicans
Bien Doan,California,City Council District 7 (San Jose),Democrat,San Jose City Councilmember. Vietnamese-American leader.,Not available,Not publicly disclosed,community:vietnamese;business:small-business;public-safety:support,Vietnamese Community
Arjun Batra,California,City Council District 5 (San Jose),Democrat,San Jose City Councilmember. Tech industry background.,Not available,Not publicly disclosed,tech:innovation;housing:affordable;transit:expansion,Tech Community
Stephen Houlahan,California,City Council District 2 (Anaheim),Republican,Anaheim City Councilmember. Conservative focus.,Not available,Christian conservative.,fiscal:conservative;disneyland:support;business:growth,Anaheim Republicans
Carlos Leon,California,City Council District 3 (Anaheim),Democrat,Anaheim City Councilmember. Latino community leader.,Not available,Catholic background.,community:latino;housing:affordable;disneyland:jobs,Latino Community
Natalie Rubalcava,California,City Council District 6 (Anaheim),Democrat,Anaheim City Councilmember. Progressive focus.,Not available,Not publicly disclosed,progressive:policies;housing:affordable;equity:focus,Anaheim Democrats
Vivian Moreno,California,City Council District 8 (San Diego),Democrat,San Diego City Councilmember. Latina leader.,Not available,Catholic background.,community:latina;housing:affordable;border:issues,Latino Community
Sean Elo-Rivera,California,City Council District 9 (San Diego),Democrat,San Diego City Councilmember. Progressive focus.,Not available,Not publicly disclosed,progressive:policies;climate:action;equity:focus,San Diego Democrats
Raul Campillo,California,City Council District 7 (San Diego),Democrat,San Diego City Councilmember. Moderate Democrat.,Not available,Not publicly disclosed,moderate:approach;public-safety:balance;business:support,San Diego Democrats
Henry Foster,California,City Council District 2 (San Diego),Democrat,San Diego City Councilmember. Community focus.,Not available,Not publicly disclosed,community:local;housing:affordable;infrastructure:investment,San Diego Democrats
Kent Lee,California,City Council District 6 (San Diego),Republican,San Diego City Councilmember. Conservative voice.,Not available,Christian conservative values.,fiscal:conservative;public-safety:strong;business:support,San Diego Republicans
Marni von Wilpert,California,City Council District 5 (San Diego),Democrat,San Diego City Councilmember. Progressive focus.,Not available,Not publicly disclosed,progressive:policies;housing:affordable;climate:action,San Diego Democrats
Joe LaCava,California,City Council District 1 (San Diego),Democrat,San Diego City Councilmember. La Jolla representative.,Not available,Not publicly disclosed,community:coastal;environment:protection;infrastructure:local,La Jolla Community
